Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\{0000111E-0000-1000-8000-00805F9B34FB}_HCIBYPASS_VID&0001009E_PID&4075\\7&14FA43A0&0&E458BC44C67C_C00000000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280\\7&14FA43A0&0&6C930865C631_C00000000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL01\\8&30E9460D&3&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL02\\8&30E9460D&3&0001";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL03\\8&30E9460D&3&0002";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL04\\8&30E9460D&3&0003";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\{00001124-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280&COL05\\8&30E9460D&3&0004";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\{00001200-0000-1000-8000-00805F9B34FB}_VID&00023434_PID&0280\\7&14FA43A0&0&6C930865C631_C00000000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\{9B26D8C0-A8ED-440B-95B0-C4714A518BCC}_VID&0001009E_PID&4075\\7&14FA43A0&0&E458BC44C67C_C00000000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\DEV_6C930865C631\\7&14FA43A0&0&BLUETOOTHDEVICE_6C930865C631";
